"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 31 12:55:46 UTC 2026","Tue Mar 31 12:55:46 UTC 2026","371","tests","test_components","","","","test_get_component_by_product_id",""
"passed","Tue Mar 31 12:55:46 UTC 2026","Tue Mar 31 12:55:47 UTC 2026","663","tests","test_product","","","","test_get_products",""
"passed","Tue Mar 31 12:55:47 UTC 2026","Tue Mar 31 12:55:47 UTC 2026","190","tests","test_components","","","","test_get_components_by_product_id",""
"passed","Tue Mar 31 12:55:46 UTC 2026","Tue Mar 31 12:55:46 UTC 2026","240","tests","test_components","","","","test_create_component",""
"passed","Tue Mar 31 12:55:46 UTC 2026","Tue Mar 31 12:55:47 UTC 2026","338","tests","test_product","","","","test_get_product",""
"passed","Tue Mar 31 12:55:46 UTC 2026","Tue Mar 31 12:55:46 UTC 2026","237","tests","test_authenticate","","","","test_fake_login_success",""
"passed","Tue Mar 31 12:55:47 UTC 2026","Tue Mar 31 12:55:47 UTC 2026","91","tests","test_product","","","","test_create_product",""
"passed","Tue Mar 31 12:55:46 UTC 2026","Tue Mar 31 12:55:46 UTC 2026","61","tests","test_authenticate","","","","test_get_auth_data",""
